# SPDX-License-Identifier: Unicode-DFS-2016
# Columns: Form; Pronunciation

අං	aŋ
නිෂ්පාදකවරයෙක්	niʃpaːdəkəwərəjek
නිෂ්පාදකවරු	niʃpaːdəkəwəru
නිෂ්පාදකවරුන්	niʃpaːdəkəwərun
නිෂ්පාදන	niʃpaːdənə
නිෂ්පාදනය	niʃpaːdənəjə
නිෂ්පාදනයකි	niʃpaːdənəjəki
නිෂ්පාදනයක්	niʃpaːdənəjak
නිෂ්පාදනයට	niʃpaːdənəjəʈə
නිෂ්පාදනයන්	niʃpaːdənəjan
නිෂ්පාදනයයි	niʃpaːdənəjaj
නිෂ්පාදනයෙන්	niʃpaːdənəjen
නිෂ්පාදනයේ	niʃpaːdənəjeː
නිෂ්පාදනයේදී	niʃpaːdənəjedi
නිෂ්පාදනවාදය	niʃpaːdənəwaːdəjə
නිෂ්පාදිත	niʃpaːditə
නිෂ්පාදිතය	niʃpaːditəjə
නිෂ්පාදිතයේ	niʃpaːditəjeː
නිෂ්ඵල	niʃpalə
නිෂ්ඵලය	niʃpələjə
නිස	nisa
නිසංසල	nisaŋsələ
නිසඟ	nisaᵑɡə
නිසඳැස්	nisəⁿdæs
නිසයි	nisaj
නිසරු	nisaru
නිසල	nisələ
නිසා	nisaː
නිසාත්	nisaːt
නිසාද	nisaːdə
නිසාදෝ	nisaːdoː
නිසානෙ	nisaːne
නිසානේ	nisaːneː
නිසාන්	nisaːn
නිසාම	nisaːmə
නිසාමය	nisaːməjə
නිසාමයි	nisaːmaj
නිසාය	nisaːjə
නිසායි	nisaj
නිසාලු	nisaːlu
නිසාවත්	nisaːwat
නිසාවෙනි	nisaːweni
නිසාවෙන්	nisaːwen
නිසාවෙන්ම	nisaːwenmə
නිසැක	nisækə
නිසැකය	nisækəjə
නිසැකයි	nisækaj
නිසැකයෙන්ම	nisækəjenmə
නිසැකව	nisækəwə
නිසැකවම	nisækəwəmə
නිසි	nisi
නිසියාකාරව	nisijaːkaːrəwə
නිසිලෙස	nisilesə
නිසොල්මනේ	nisolməne
නිස්	nis
නිස්කලංක	niskalaŋkə
නිස්සරණාධ්යාසයෙන්ම	nissarənaːddjaːsəjenmə
නිස්සරණාධ්‍යාසයෙන්ම	nissərənaːddjaːsəjenmə
නිහඩව	nihəɖəwə
නිහඬ	nihaⁿɖə
නිහඬතාව	nihəⁿɖətaːwə
නිහඬතාවය	nihaⁿɖətaːwəjə
නිහඬය	nihəⁿɖəjə
නිහඬයා	nihaⁿɖəja
නිහඬයා	nihəⁿɖəja
නිහඬයි	nihaⁿɖaj
නිහඬයි	nihəⁿɖaj
නිහඬව	nihəⁿɖəwə
නිහඬවම	nihəⁿɖəwəmə
නිහඬවීමට	nihəⁿɖəwiːməʈə
නිහතමානි	nihətəmaːni
නිහතමානිව	nihətəmaːniwə
නිහතමානී	nihətəmaːniː
නිහතමානීව	nihətəmaːniːwə
නිහාල්	nihaːl
නිහාල්සිංහ	nihaːlsiŋhə
නිහැඬියාව	nihæⁿɖijaːwə
නිහැඬියාවකින්	nihæⁿɖijaːwəkin
නිළ	nilə
නිළධාරින්	nilədaːrin
නිළධාරියෙක්	nilədaːrijek
නිළධාරීන්	nilədaːriːn
නිළමේ	niləme
නිළි	nili
නිළිය	nilijə
නිළියක	nilijəkə
නිළියකට	nilijəkəʈə
නිළියකි	nilijəki
නිළියක්	nilijak
නිළියගේ	nilijəɡeː
නිළියට	nilijəʈə
නිළියන්	nilijan
නිළියන්ගෙන්	nilijanɡen
නිළියන්ගේ	nilijanɡeː
නිළියන්ට	nilijanʈə
නිළියො	nilijo
නිළියෝ	nilijoː
නීච	niːcə
නීචභංග	niːcəbaŋɡə
නීචයි	niːcaj
නීචව	niːcəwə
නීචවීම	niːcəwiːmə
නීටා	niːʈaː
නීති	niːti
නීතිගත	niːtiɡatə
නීතිගරුක	niːtiɡarukə
නීතිඥ	niːtikɲə
නීතිඥයාගේ	niːtikɲəjaːɡeː
නීතිඥයෝ	niːtikɲəjo
නීතිපති	niːtipəti
නීතිපතිවරයා	niːtipatiwərəja
නීතිපතිවරයා	niːtipətiwərəja
නීතිමය	niːtiməjə
නීතිය	niːtijə
නීතියක්	niːtijak
නීතියට	niːtijəʈə
නීතියත්	niːtijat
නීතියයි	niːtijaj
නීතියෙන්	niːtijen
නීතියෙන්ම	niːtijenmə
නීතියේ	niːtijeː
නීතිරීති	niːtiriːti
නීතිවිරෝධී	niːtiwiroːdiː
නීතී	niːti
නීතීඥ	niːtiːkɲə
නීත්යනුකූලව	niːttjanukuːləwə
නීත්‍යනුකූලව	niːttjanukuːləwə
නීත්යානුකූලව	niːttjaːnukuːləwə
නීරස	niːrasə
නීරෝ	niːroː
නීරෝගා	niːroːɡaː
නීරෝගී	niːroːɡiː
නීල	niːlə
නීලා	niːlaː
නීල්	niːl
නීවරණ	niːwərənə
නු	nu
නුකූල	nukuːlə
නුග	nuɡə
නුගත්	nuɡat
නුගවෙල	nuɡəwelə
නුගේගොඩ	nuɡeːɡoɖə
නුතන	nuːtənə
නුත්	nut
නුදුටු	nuduʈu
නුදුරින්	nudurin
නුදුරු	nuduru
නුදුරේදීම	nudureːdiːmə
නුනොත්	nunot
නුපුරුදු	nupurudu
නුපුළුවන	nupuluwənə
නුබට	nubəʈə
නුමුත්	numut
නුඹ	nuᵐbə
නුඹගේ	nuᵐbəɡe
නුඹට	nuᵐbəʈə
නුඹටත්	nuᵐbəʈat
නුඹත්	nuᵐbat
නුඹම	nuᵐbəmə
නුඹමය	nuᵐbəməjə
නුඹලා	nuᵐbəlaː
නුඹලාගේ	nuᵐbəlaːɡe
නුඹලාට	nuᵐbəlaːʈə
නුඹව	nuᵐbəwə
නුඹෙ	nuᵐbe
නුඹෙන්	nuᵐben
නුඹේ	nuᵐbeː
නුල්	nul
නුවණ	nuwənə
නුවණට	nuwənəʈə
නුවණම	nuwənəmə
නුවණයි	nuwənaj
නුවණැති	nuwənæti
නුවණින්	nuwənin
නුවන	nuwənə
නුවනට	nuwənəʈə
නුවනින්	nuwənin
නුවනුයි	nuwənuj
නුවන්	nuwan
නුවන්ත	nuwantə
නුවර	nuwərə
නුවරඑළිය	nuwərəelijə
නුවරඑළියට	nuwərəelijəʈə
නුවරඑළියේ	nuwərəelije
නුවරට	nuwərəʈə
නුවරද	nuwərədə
නුවරදී	nuwərədiː
නුවරමයි	nuwərəmaj
නුවරයි	nuwəraj
නුසුදුසු	nusudusu
නුසුදුසුය	nusudusujə
නුසුදුසුයි	nusudusui
නුහුරු	nuhuru
නූගත්	nuːɡat
නූඩ්ල්ස්	nuːɖls
නූතන	nuːtənə
නූතනත්වය	nuːtənatwəjə
නූතනයේ	nuːtənəjeː
නූතනවාදී	nuːtənəwaːdi
නූපන්	nuːpan
නූපා	nuːpa
නූර්	nuːr
නූර්ති	nuːrti
නූල	nuːlə
නූලක්	nuːlak
නූලෙන්	nuːlen
නූල්	nuːl
නෙක්	nek
නෙක්ඛම්ම	nekkammə
නෙක්ටො	nekʈo
නෙගටිව්	neɡəʈiu
නෙට්	neʈ
නෙඩ්	neɖ
නෙත	netə
නෙතඟ	netaᵑɡə
නෙතට	netəʈə
නෙතින්	netin
නෙතු	netu
නෙත්	net
නෙත්තිකුමාර	nettikumaːrə
නෙත්නම්	netnam
නෙදර්ලන්ත	nedərlantə
නෙදර්ලන්තය	nedərlantəjə
නෙමෙ	neme
නෙමෙයි	nemej
නෙමෙයිද	nemejdə
නෙමෙයිනෙ	nemejne
නෙමෙයිනේ	nemejne
නෙමේ	nemeː
නෙමේද	nemeːdə
නෙමේනේ	nemeːneː
නෙරපා	nerəpaː
නෙරා	neraː
නෙලන	nelənə
නෙලන්න	nelannə
නෙලා	nela
නෙලාගන්න	nelaːɡannə
නෙලුම්	nelum
නෙලූ	neluː
නෙල්සන්	nelsən
නෙව	newə
නෙවනෙව	newənewə
නෙවැ	newæ
නෙවෑ	newæː
නෙවි	newi
නෙවිල්	newil
නෙවී	newiː
නෙවෙ	newe
නෙවෙයි	newej
නෙවෙයිද	newejdə
නෙවෙයිනෙ	newejne
නෙවෙයිනේ	newejne
නෙවෙය්	newej
නෙවේ	neweː
නෙවේද	neweːdə
නෙවේනේ	neweːne
නෙස්ලේ	nesleː
නෙහාරා	nehaːraː
නෙළන	nelənə
නෙළා	nelaː
නෙළු	nelu
නෙළුම්	nelum
නෙළුව	neluwə
නෙළුවේ	neluwe
නේ	ne
නේටෝ	neːʈoː
නේටෝව	neːʈoːwə
නේද	neːdə
නේන්නං	neːnnaŋ
නේන්නම්	neːnnam
නේපාල	neːpaːlə
නේපාලය	neːpaːləjə
නේපාලයට	neːpaːləjəʈə
නේපාලයේ	neːpaːləjeː
නේම්	neːm
නේරු	neːru
නේවාසික	neːwaːsikə
නේවාසිකව	neːwaːsikəwə
නේවාසිකාගාර	neːwaːsikaːɡaːrə
නේවාසිකාගාරයේ	neːwaːsikaːɡaːrəje
නේවි	neːwi
නේවිස්	neːwis
නේෂන්ස්	neːʃəns
නෛතික	najtikə
නෛසර්ගික	najsarɡikə
නො	no
නොඅඩුව	noaɖuwə
නොඅනුමානය	noanumaːnəjə
නොඅනුමානයි	noanumaːnaj
නොඇලී	noæliː
නොඇසෙන	noæsenə
නොඉඳුල්	noiⁿdul
නොඑන	noenə
නොඑසේ	noeseː
නොඑසේනම්	noeseːnam
නොකඩවා	nokəɖəwaː
නොකන	nokanə
නොකර	nokərə
නොකරති	nokərəti
නොකරත්	nokərat
නොකරන	nokərənə
නොකරනු	nokərənu
නොකරන්න	nokərannə
නොකරන්නැයි	nokərannæj
නොකරන්නේ	nokəranneː
නොකරපු	nokərəpu
නොකරම	nokərəmə
නොකරමි	nokərəmi
නොකරමින්	nokərəmin
නොකරමු	nokərəmu
නොකරයි	nokəraj
නොකල	nokələ
නොකලට	nokaləʈə
නොකලත්	nokəlat
නොකලා	nokəla
නොකලේ	nokəleː
නොකලොත්	nokəlot
නොකළ	nokələ
නොකළත්	nokəlat
නොකළහ	nokələhə
නොකළහොත්	nokələhot
නොකළාය	nokəlaːjə
නොකළෙමි	nokəlemi
නොකළේ	nokəleː
නොකළේය	nokəleːjə
නොකළොත්	nokəlot
නොකා	nokaː
නොකැඩී	nokæɖiː
නොකෑ	nokæː
නොකෑම	nokæːmə
නොකෑව	nokæːwə
නොකෑවට	nokæːwaʈə
නොකෑවත්	nokæːwat
නොකෑවා	nokæːwa
නොකෑවොත්	nokæːwot
නොකිය	nokijə
නොකියන	nokijənə
නොකියන්න	nokijannə
නොකියන්නේ	nokijanne
නොකියපු	nokijəpu
නොකියම	nokijamə
නොකියමි	nokijəmi
නොකියයි	nokijaj
නොකියවන	nokijəwənə
නොකියවා	nokijəwaː
නොකියවේ	nokijəweː
නොකියා	nokijaː
නොකියාම	nokijaːmə
නොකිරීම	nokiriːmə
නොකිරීමට	nokiriːməʈə
නොකිරීමයි	nokiriːmaj
නොකිරීමෙන්	nokiriːmen
නොකිරීමේ	nokiriːmeː
නොකී	nokiː
නොකෙරෙන	nokerenə
නොකෙරෙයි	nokerej
නොකෙරේ	nokereː
නොකොට	nokoʈə
නොක්ස්	noks
නොගත	noɡatə
නොගත්	noɡat
නොගත්ත	noɡattə
නොගත්තේ	noɡatteː
නොගත්තොත්	noɡattot
නොගත්හ	noɡathə
නොගනිමි	noɡanimi
නොගනී	noɡaniː
නොගන්න	noɡannə
නොගන්නා	noɡannaː
නොගන්නේ	noɡanne
නොගහ	noɡaha
නොගහා	noɡaha
නොගා	noɡaː
නොගැටී	noɡæʈiː
නොගැනීම	noɡæniːmə
නොගැනීමට	noɡæniːməʈə
නොගැඹුරු	noɡæᵐburu
නොගැලපීම	noɡæləpiːmə
නොගැලපීම්	noɡæləpiːm
නොගැලපෙන	noɡæləpenə
නොගැලපේ	noɡæləpeː
නොගැළපෙන	noɡæləpenə
නොගැළපේ	noɡæləpeː
නොගෑවෙන	noɡæːwenə
නොගිය	noɡijə
නොගියේය	noɡijeːjə
නොගිහින්	noɡihin
නොගෙන	noɡenə
නොගෙවා	noɡewa
නොගොස්	noɡos
නොට්	noʈ
නොතකා	notəkaː
නොතනියට	notanijəʈə
නොතබන	notabənə
නොතබා	notəbaː
නොතබාම	notabaːmə
නොතබාම	notəbaːmə
නොතැබිය	notæbijə
නොතිත්	notit
නොතිබිණි	notibini
නොතිබිය	notibijə
නොතිබීම	notibiːmə
නොතිබුණ	notibunə
නොතිබුණත්	notibunat
නොතිබුණා	notibunaː
නොතිබුණි	notibuni
නොතිබුණු	notibunu
නොතිබුන	notibunə
නොතිබුනා	notibunaː
නොතිබුනි	notibuni
නොතිබූ	notibuː
නොතියපු	notijəpu
නොතේරීම	noteːriːmə
නොතේරුනාට	noteːrunaːʈə
නොතේරෙන	noteːrenə
නොතේරෙන්නේ	noteːrenne
නොතේරේ	noteːreː
නොදකින	nodakinə
නොදකින්	nodəkiŋ
නොදකිමි	nodakimi
නොදක්වන	nodakwənə
නොදක්වයි	nodakwaj
නොදත්	nodat
නොදනිති	nodaniti
නොදනිමි	nodanimi
නොදනිමු	nodanimu
නොදනී	nodaniː
නොදන්න	nodannə
නොදන්නකම	nodannəkamə
නොදන්නව	nodannəwa
නොදන්නවා	nodannəwaː
නොදන්නා	nodannaː
නොදන්නාකම	nodannaːkamə
නොදන්නේ	nodanne
නොදන්නේද	nodanneːdə
නොදමා	nodəmaː
නොදා	nodaː
නොදැක	nodækə
නොදැකපු	nodækəpu
නොදැක්ක	nodækkə
නොදැක්කා	nodækka
නොදැන	nodænə
නොදැනිම	nodænimə
නොදැනීම	nodæniːmə
නොදැනුවත්	nodænuwat
නොදැනුවත්කම	nodænuwatkamə
නොදැනුවත්ව	nodænuwatwə
නොදැනුවත්වම	nodænuwatwəmə
නොදැනෙන	nodænenə
නොදැනෙන්න	nodænennə
නොදැනේ	nodæneː
නොදැන්න	nodænnə
නොදෑන	nodæːnə
නොදි	nodi
නොදිය	nodijə
නොදියුණු	nodijunu
නොදියුනු	nodijunu
නොදී	nodiː
නොදීම	nodiːmə
නොදීමට	nodiːməʈə
නොදුටු	noduʈu
නොදුන්	nodun
නොදුන්නේ	nodunne
නොදුන්නොත්	nodunnot
නොදෙන	nodenə
නොදෙන්න	nodennə
නොදෙන්නේ	nodenneː
නොදෙමි	nodemi
නොදෙයි	nodej
නොදෙවෙනි	nodeweni
නොදේ	nodeː
නොදෝමකින්	nodoːməkin
නොනගතය	nonəɡətəjə
නොනවතින	nonawətinə
නොනවත්වා	nonəwatwaː
නොනවත්වාම	nonəwatwaːmə
නොනැවතී	nonæwətiː
නොනැවතුණු	nonæwətunu
නොනැසී	nonæsiː
නොනෑයෝත්	nonæːjoːt
නොන්ඩි	nonɖi
නොපමාව	nopəmaːwə
නොපවතින	nopawətinə
නොපවතී	nopawətiː
නොපා	nopaː
නොපැතූ	nopætuː
නොපැමිණි	nopæmini
නොපැමිණීම	nopæminiːmə
නොපැමිණෙන	nopæminenə
නොපිරිහෙලා	nopirihelaː
නොපිළිගත	nopiliɡatə
නොපිළිගන්නා	nopiliɡannaː
නොපෙනන	nopenənə
නොපෙනී	nopeniː
නොපෙනීම	nopeniːmə
නොපෙනුනාට	nopenunaːʈə
නොපෙනෙන	nopenenə
නොපෙනෙයි	nopenej
නොපෙනේ	nopeneː
නොපෙනේද	nopeneːdə
නොපෙන්වා	nopenwa
නොබල	nobalə
නොබලන	nobalənə
නොබලපු	nobaləpu
නොබලම	nobəlamə
නොබලා	nobəlaː
නොබා	nobaː
නොබැන	nobænə
නොබැඳි	nobæⁿdi
නොබැලුවට	nobæluwaʈə
නොබැලුවොත්	nobæluwot
නොබිඳී	nobiⁿdi
නොබිඳෙන	nobiⁿdenə
නොබියව	nobijəwə
නොබී	nobiː
නොබෙල්	nobel
නොබොන	nobonə
නොබෝ	noboː
නොම	nomə
නොමග	nomaɡə
නොමඟ	nomaᵑɡə
නොමද	nomadə
නොමනා	nomənaː
නොමඳ	noməⁿdə
නොමඳව	nomaⁿdəwə
නොමරා	noməra
නොමැකෙන	nomækenə
නොමැත	nomætə
නොමැති	nomæti
නොමැතිකම	nomætikamə
නොමැතිනම්	nomætinam
නොමැතිව	nomætiwə
නොමැතිවීම	nomætiwiːmə
නොමැරී	nomæriː
නොමෑත	nomæːtə
නොමෑතිව	nomæːtiwə
නොමියෙන	nomijenə
නොමිලයේ	nomiləje
නොමිලේ	nomileː
නොමිලේම	nomileːmə
නොමේරූ	nomeːruː
නොම්මර	nommərə
නොයන	nojənə
නොයනු	nojanu
නොයන්න	nojannə
නොයන්නේ	nojanne
නොයමි	nojəmi
නොයයි	nojaj
නොයවා	nojəwaː
නොයා	nojaː
නොයාම	nojaːmə
නොයෑම	nojæːmə
නොයිඳුල්	nojⁿdul
නොයෙකුත්	nojekut
නොයෙක්	nojek
නොයෙල්	nojel
නොරහසකි	norahasəki
නොරැඳී	noræⁿdiː
නොරැවටෙන්න	noræwəʈennə
නොරොච්චෝලේ	noroccoːle
නොර්වේ	noːwe
නොලත්	nolat
නොලද	noladə
නොලබන	nolabənə
නොලබා	nolabaː
නොලබා	noləbaː
නොලැබිණි	nolæbini
නොලැබී	nolæbiː
නොලැබීම	nolæbiːmə
නොලැබීමයි	nolæbiːmaj
නොලැබුණ	nolæbunə
නොලැබුණත්	nolæbunat
නොලැබුණහොත්	nolæbunəhot
නොලැබුණි	nolæbuni
නොලැබුණු	nolæbunu
නොලැබූ	nolæbuː
නොලැබෙන	nolæbenə
නොලැබෙනු	nolæbenu
නොලැබෙන්නේ	nolæbenneː
නොලැබෙයි	nolæbej
නොලැබේ	nolæbeː
නොලිය	nolijə
නොලියා	nolija
නොව	nowə
නොවටිනා	nowaʈinaː
නොවටී	nowaʈiː
නොවන	nowənə
නොවනා	nowənaː
නොවනු	nowənu
නොවන්න	nowannə
නොවන්නකි	nowannəki
නොවන්නට	nowannəʈə
නොවන්නා	nowannaː
නොවන්නේ	nowanne
නොවන්නේද	nowanneːdə
නොවන්නේය	nowanneːjə
නොවයි	nowaj
නොවරදවාම	nowərədəwaːmə
නොවරදින	nowarədinə
නොවැ	nowæ
නොවැටහෙන	nowæʈəhenə
නොවැටහේ	nowæʈəheː
නොවැටහේද	nowæʈəheːdə
නොවැටී	nowæʈiː
නොවැදගත්	nowædəɡat
නොවැම්බරයේ	nowæmbərəjeː
නොවැම්බර්	nowæmbər
නොවැළඳිය	nowæləⁿdijə
නොවැළැක්විය	nowælækwijə
නොවෑ	nowæː
නොවිච්ච	nowiccə
නොවිණි	nowini
නොවිනි	nowini
නොවිඳි	nowiⁿdi
නොවිය	nowijə
නොවිසඳුණු	nowisəⁿdunu
නොවී	nowiː
නොවීම	nowiːmə
නොවීමට	nowiːməʈə
නොවීමත්	nowiːmat
නොවීමය	nowiːməjə
නොවීමයි	nowiːmaj
නොවීමේ	nowiːmeː
නොවීය	nowiːjə
නොවු	now
නොවුණ	nownə
නොවුණත්	nownat
නොවුණද	nownədə
නොවුණහොත්	nownəhot
නොවුණහොත්	nowunəhot
නොවුණා	nownaː
නොවුණි	nowni
නොවුණු	nownu
නොවුණේ	nowneː
නොවුණොත්	nownot
නොවුන	nownə
නොවුනට	nownaʈə
නොවුනත්	nownat
නොවුනහොත්	nownəhot
නොවුනා	nownaː
නොවුනානම්	nownaːnam
නොවුනි	nowni
නොවුනි	nowuni
නොවුනු	nownu
නොවුනේ	nouneː
නොවුනොත්	nownot
නොවුවද	nowwədə
නොවුවහොත්	nowwəhot
නොවූ	nouː
නොවූයේ	nouːjeː
නොවූවත්	nouːwat
නොවූවත්	nowuːwat
නොවූවද	nouːwədə
නොවූවද	nowuːwədə
නොවූවාය	nouːwaːjə
නොවූහ	nouːhə
නොවෙ	nowe
නොවෙතත්	nowetat
නොවෙති	noweti
නොවෙද	nowedə
නොවෙන	nowenə
නොවෙනවා	nowenəwa
නොවෙනස්	nowenas
නොවෙනස්ව	nowenaswə
නොවෙන්න	nowennə
නොවෙන්නත්	nowennat
නොවෙන්නේ	nowenneː
නොවෙමි	nowemi
නොවෙමු	nowemu
නොවෙයි	nowej
නොවෙයිද	nowejdə
නොවෙයිනේ	nowejneː
නොවේ	noweː
නොවේද	noweːdə
නොවේදැයි	noweːdæj
නොවේනම්	noweːnam
නොවේමය	noweːməjə
නොවේය	noweːjə
නොවේයැයි	noweːjæj
නොවේවා	noweːwaː
නොවේවි	noweːwi
නොසඟවා	nosaᵑɡəwaː
නොසන්සුන්	nosansun
නොසන්සුන්කාරී	nosansunkaːriː
නොසලකන	nosaləkənə
නොසලකමු	nosaləkəmu
නොසලකා	nosaləkaː
නොසළකා	nosaləkaː
නොසළකා	nosələkaː
නොසැලකිල්ල	nosæləkillə
නොසැලී	nosæliː
නොසැලෙන	nosælenə
නොසෑහෙන	nosæːhenə
නොසෑහෙන්න	nosæːhennə
නොසිට	nosiʈə
නොසිටි	nosiʈi
නොසිටින	nosiʈinə
නොසිටිය	nosiʈijə
නොසිටියේය	nosiʈijeːjə
නොසිටීම	nosiʈiːmə
නොසිතන	nositənə
නොසිතන්න	nositannə
නොසිතමි	nositəmi
නොසිතා	nositaː
නොසිතිය	nositijə
නොසිතු	nositu
නොසිතූ	nosituː
නොසිඳෙන	nosiⁿdenə
නොසොයා	nosoja
නොහඳුනති	nohaⁿdunəti
නොහඳුනන	nohaⁿdunənə
නොහැක	nohækə
නොහැකි	nohæki
නොහැකිද	nohækidə
නොහැකිනම්	nohækinam
නොහැකිය	nohækijə
නොහැකියාව	nohækijaːwə
නොහැකියැයි	nohækijæj
නොහැකියි	nohækiː
නොහැකිව	nohækiwə
නොහැකිවිය	nohækiwijə
නොහැකිවීම	nohækiwiːmə
නොහැකිවූ	nohækiuː
නොහැක්කකි	nohækkəki
නොහැක්කක්	nohækkak
නොහැක්කේ	nohække
නොහැඬුවාය	nohæⁿɖuwaːjə
නොහැර	nohærə
නොහෑක	nohæːkə
නොහෑකිය	nohæːkijə
නොහෑකියි	nohæːkiː
නොහෑකියි	nohæːkij
නොහිටින්න	nohiʈinnə
නොහිතන	nohitənə
නොහිතපු	nohitəpu
නොහිතා	nohita
නොහොත්	nohot
නොහොඳ	nohoⁿdə
නොහොබිනා	nohobinaː
නොහොඹි	nohoᵐbi
නෝ	noː
නෝටි	noːʈi
නෝට්ටු	noːʈʈu
නෝට්ටුව	noːʈʈuwə
නෝට්ටුවක්	noːʈʈuwak
නෝට්පෑඩ්	noːʈpæːɖ
නෝන	noːna
නෝනගෙ	noːnaɡe
නෝනගේ	noːnaɡe
නෝනට	noːnaʈə
නෝනත්	noːnat
නෝනයි	noːnaj
නෝනලා	noːnəlaː
නෝනා	noːnaː
නෝනාගේ	noːnaːɡe
නෝනාට	noːnaʈə
නෝන්ඩි	noːnɖi
නෝමන්	noːmən
නෝරා	noːra
නෝර්වේ	noːrweː
නෝවා	noːwa
නෞ	naw
නෞකා	nawkaː
නෞකාව	nawkaːwə
නෞකාවකින්	nawkaːwəkin
නෞකාවක්	nawkaːwak
නෞකාවෙන්	nawkaːwen
නෞකාවේ	nawkaːwe
න්යෂ්ටික	njaʃʈikə
න්‍යෂ්ටික	njaʃʈikə
න්යාය	njaːjə
න්‍යාය	njaːjə
න්යායට	njaːjəʈə
න්‍යායට	njaːjəʈə
පං	paŋ
පංකාදු	paŋkaːdu
පංකාදුයි	paŋkaːdui
පංගුව	paŋɡuwə
පංගුවක්	paŋɡuwak
පංච	paŋcə
පංචකර්ම	paŋcəkarmə
පංචකර්මය	paŋcəkarmajə
පංචශීල	paŋcəʃiːlə
පංචසීලය	paŋcəsiːləjə
පංචස්ඛන්ධ	paŋcaskandə
පංති	paŋti
පංතිය	paŋtijə
පංතියට	paŋtijəʈə
පංතියේ	pantije
පංතියේ	paŋtije
පකෂි	pəkəʃi
පකිස්තාන	pakistaːnə
පකිස්තානය	pakistaːnəjə
පකිස්තානයේ	pakistaːnəje
පකිස්තාන්	pakistaːn
පකිස්ථාන	pakistaːnə
පකිස්ථානය	pakistaːnəjə
පකිස්ථානයට	pakistaːnəjəʈə
පකිස්ථානයේ	pakistaːnəjeː
පකිස්ථානු	pakistaːnu
පකිස්ථානුවන්	pakistaːnuwan
පක්කිලි	pakkili
පක්ශ	pakʃə
පක්ශය	pakʃəjə
පක්ශෙ	pakʃe
පක්ෂ	pakʃə
පක්ෂපාතී	pakʃəpaːtiː
පක්ෂය	pakʃəjə
පක්ෂයක	pakʃəjəkə
පක්ෂයකට	pakʃəjəkəʈə
පක්ෂයකින්	pakʃəjəkin
පක්ෂයක්	pakʃəjak
පක්ෂයට	pakʃəjəʈə
පක්ෂයත්	pakʃəjat
පක්ෂයයි	pakʃəjaj
පක්ෂයෙන්	pakʃəjen
පක්ෂයේ	pakʃəje
පක්ෂයේ	pakʃəjeː
පක්ෂව	pakʃəwə
පක්ෂවල	pakʃəwələ
පක්ෂවලට	pakʃəwələʈə
පක්ෂි	pakʃi
පක්ෂීන්	pakʃiːn
පක්ෂීන්ට	pakʃiːnʈə
පක්ෂෙ	pakʃe
පක්ෂෙට	pakʃeʈə
පක්ෂෙන්	pakʃen
පක්ෂේ	pakʃe
පගා	paɡaː
පගාව	paɡaːwə
පඟර	paᵑɡərə
පච	pacə
පච්ච	paccə
පච්චත්තං	paccattaŋ
පච්චයා	paccəja
පජාත	paɟaːtə
පඤ්ච	paɲcə
පඤ්චස්කන්ධයයි	paɲcaskandəjaj
පඤ්ඤාලෝක	paɲɲaːloːkə
පට	paʈə
පටං	paʈaŋ
පටක	paʈəkə
පටන්	paʈan
පටන්	paʈaŋ
පටන්ගත්	paʈanɡat
පටන්ගත්ත	paʈanɡattə
පටන්ගත්තත්	paʈanɡattat
පටන්ගත්තා	paʈanɡatta
පටන්ගත්තු	paʈanɡattu
පටන්ගත්තෙ	paʈanɡatte
පටන්ගත්තේ	paʈanɡatteː
පටන්ගන්න	paʈanɡannə
පටන්ගන්නවා	paʈanɡannəwa
පටන්ගන්නෙ	paʈanɡanne
පටන්ගන්නේ	paʈanɡanneː
පටන්ගෙන	paʈanɡenə
පටන්ම	paʈanmə
පටන්ය	paʈanjə
පටබැඳි	paʈəbæⁿdi
පටබැඳිගේ	paʈəbæⁿdiɡe
පටබැඳී	paʈəbæⁿdiː
පටබැඳුණු	paʈəbæⁿdunu
පටය	paʈəjə
පටයකිනි	paʈəjəkini
පටයකින්	paʈəjəkin
පටයක්	paʈəjak
පටයට	paʈəjəʈə
පටයේ	paʈəjeː
පටල	paʈələ
පටලය	paʈələjə
පටලව	paʈələwə
පටලවා	paʈələwaː
පටලවාගෙන	paʈəlawaːɡenə
පටලවාගෙන	paʈələwaːɡenə
පටලා	paʈəlaː
පටවන	paʈəwənə
පටවනවා	paʈəwənəwa
පටවන්න	paʈəwannə
පටවල	paʈəwəla
පටවා	paʈəwaː
පටවාගෙන	paʈəwaːɡenə
පටස්	paʈas
පටහැනි	paʈəhæni
පටහැනිය	paʈəhænijə
පටහැනියි	paʈəhæniː
පටහැනියි	paʈəhænij
පටහැනිව	paʈəhæniwə
පටහෑනි	paʈəhæːni
පටහෑනිව	paʈəhæːniwə
පටාචාරා	paʈaːcaːraː
පටි	paʈi
පටිගත	paʈiɡatə
පටිඝ	paʈiɡə
පටිච්ච	paʈiccə
පටිච්චසමුප්පාද	paʈiccəsamuppaːdə
පටිපාටිය	paʈipaːʈijə
පටිභාන	paʈibaːnə
පටිය	paʈijə
පටියක්	paʈijak
පටිසම්භිදා	paʈisambidaː
පටු	paʈu
පටුන	paʈunə
පට්	paʈ
පට්ට	paʈʈə
පට්ටනේ	paʈʈəne
පට්ටපල්	paʈʈəpal
පට්ටම	paʈʈəmə
පට්ටම්	paʈʈam
පට්ටයි	paʈʈaj
පට්ටා	paʈʈaː
